MATH
Global Davies-Bouldin index: 6.5125
            topic_type  n_samples  mean_silhouette  intra_cosine_sim
              Geometry       1349           0.1233            0.3934
         Number Theory       1409           0.1118            0.3763
  Intermediate Algebra       2198           0.0380            0.3621
Counting & Probability       1245           0.0254            0.3092
           Precalculus       1292           0.0221            0.3505
               Algebra       2931          -0.0462            0.3010
            Prealgebra       2076          -0.1020            0.2506

PHYSICS
Global Davies-Bouldin index: 4.2382
                   topic  n_samples  mean_silhouette  intra_cosine_sim
        Electromagnetism        800           0.5014            0.6391
          Plasma physics        800           0.2428            0.4740
                  Optics        800           0.2387            0.4394
           String theory        800           0.2344            0.5488
       Superconductivity        800           0.2215            0.5066
            Chaos theory        800           0.2186            0.4486
             Dark matter        800           0.2140            0.5400
     Gravitational waves        800           0.1905            0.5249
          Thermodynamics        800           0.1850            0.4063
       Quantum computing        800           0.1838            0.4586
      Special relativity        800           0.1531            0.4309
             Black holes        800           0.1398            0.5178
    Quantum field theory        800           0.0906            0.4521
          Atomic physics        800           0.0842            0.3807
         Fluid mechanics        800           0.0751            0.3528
        Particle physics        800           0.0643            0.4367
         Nuclear physics        800           0.0358            0.3434
              Biophysics        800           0.0335            0.3051
               Cosmology        800           0.0333            0.4137
Condensed matter physics        800          -0.0101            0.3625
     Solid state physics        800          -0.0241            0.3449
       Quantum mechanics        800          -0.0826            0.3435
     High-energy physics        800          -0.0950            0.3764
      General relativity        800          -0.1030            0.3807
            Astrophysics        800          -0.1146            0.3292
